candidates	label	core_group_placement	outlier_placement
['halvmåne', 'meteorit', 'gassky', 'frontdannelse']	frontdannelse	01.02	01.005.33.0
['solvind', 'aftensol', 'nedslagssted', 'plusgrader']	plusgrader	01.02	01.005.71.1
['solfakkel', 'komet', 'inklinationsvinkel', 'vind']	vind	01.02	01.007.0.0
['Mælkevejen', 'kvasar', 'jernkerne', 'mosekonebryg']	mosekonebryg	01.02	01.008.5.1
['dobbeltstjerne', 'eklipse', 'måneformørkelse', 'israndslinje']	israndslinje	01.02	01.010.28.1
['ildkugle', 'midnatssol', 'måneformørkelse', 'Nordjylland']	Nordjylland	01.02	01.012.0.0
['planetsystem', 'komet', 'måne', 'hjørne']	hjørne	01.02	01.013.0.1
['sol', 'dværgplanet', 'solformørkelse', 'fastlandsskrænt']	fastlandsskrænt	01.02	01.015.32.0
['sol', 'midsommer', 'nymåne', 'opløsningsevne']	opløsningsevne	01.02	01.022.10.0
['solskive', 'fotosfære', 'biplanet', 'heluld']	heluld	01.02	01.023.3.0
['uvejrssky', 'middeltemperatur', 'højtryksområde', 'alfader']	alfader	01.05	01.001.24.1
['advektion', 'klimazone', 'uvejr', 'Asien']	Asien	01.05	01.003.22.3
['tørvejr', 'vindrose', 'vinter', 'ekliptika']	ekliptika	01.05	01.003.4.2
['advektion', 'isvinter', 'trykforhold', 'tordenkaffe']	tordenkaffe	01.05	01.009.33.1
['efterårstid', 'ozonlag', 'advektionståge', 'sogn']	sogn	01.05	01.011.12.2
['luftfugtighed', 'vejrsituation', 'minusgrader', 'grevskab']	grevskab	01.05	01.011.15.2
['lufttrykforandring', 'trykforhold', 'luft', 'regionalsprog']	regionalsprog	01.05	01.011.32.0
['meteorologi', 'front', 'tågesky', 'Ry']	Ry	01.05	01.012.26.2
['vinter', 'varmegrad', 'uvejr', 'deklination']	deklination	01.05	01.013.29.0
['frontdannelse', 'forårsluft', 'banke', 'edder']	edder	01.05	01.021.47.6
['oliefrø', 'bog', 'pinde', 'brunsttid']	brunsttid	02.03	02.005.1.5
['åre', 'havre', 'avne', 'graviditet']	graviditet	02.03	02.005.2.0
['karsefrø', 'fiber', 'trærod', 'impotens']	impotens	02.03	02.006.4.1
['timiankvist', 'korianderfrø', 'trækrone', 'fireåring']	fireåring	02.03	02.007.47.4
['sporesæk', 'pinjekogle', 'lilje', 'farvetegning']	farvetegning	02.03	02.008.33.5
['træfiber', 'mandelolie', 'drageblod', 'ben']	ben	02.03	02.008.7.0
['timiankvist', 'græsfrø', 'fennikelfrø', 'dyreværnsfolk']	dyreværnsfolk	02.03	02.010.107.1
['pollenkorn', 'bul', 'plantedel', 'hvaljagt']	hvaljagt	02.03	02.012.12.0
['klase', 'valmuekapsel', 'splint', 'manddomskraft']	manddomskraft	02.03	02.014.55.3
['loppefrø', 'hørfrø', 'træfiber', 'natteravn']	natteravn	02.03	02.021.7.0
['cybersex', 'LGBT-miljø', 'onanist', 'hashplante']	hashplante	02.29	02.002.115.0
['kvindejagt', 'cunnilingus', 'kønsforståelse', 'frugtsommelighed']	frugtsommelighed	02.29	02.005.2.2
['gummitøj', 'narrefisse', 'erotoman', 'traktose']	traktose	02.29	02.006.1.3
['pikhoved', 'elskovsaffære', 'missionærstilling', 'rævegrav']	rævegrav	02.29	02.007.73.1
['transseksualitet', 'fetichisme', 'kusse', 'løvekule']	løvekule	02.29	02.010.82.1
['bøssepar', 'krummerik', 'penishoved', 'morbror']	morbror	02.29	02.014.54.2
['dildoparty', 'dating', 'bodypaint', 'sportspige']	sportspige	02.29	02.016.32.0
['regnbue', 'sexolog', 'håndtrold', 'hundeliv']	hundeliv	02.29	02.019.11.1
['undervognsbehandling', 'bifobi', 'onenightstand', 'blackout']	blackout	02.29	02.020.11.2
['missionærstilling', 'skabsbøsse', 'forspil', 'dopingtest']	dopingtest	02.29	02.047.9.2
['mellemrum', 'halvvejen', 'banelængde', 'tab']	tab	03.01	03.004.0.4
['håndsbred', 'afstandsmærke', 'fingerbredde', 'hul']	hul	03.01	03.004.6.6
['langside', 'vidde', 'hårsbred', 'knælebænk']	knælebænk	03.01	03.015.21.1
['spændvidde', 'my', 'spytklat', 'svæv']	svæv	03.01	03.016.4.1
['strækning', 'fod', 'håndsbred', 'mandeskikkelse']	mandeskikkelse	03.01	03.017.2.1
['rummelighed', 'armslængde', 'm', 'overdækning']	overdækning	03.01	03.019.7.0
['afstandsmåler', 'stenkast', 'længdesnit', 'ansigt']	ansigt	03.01	03.025.4.0
['rummål', 'mile', 'afstandsbedømmelse', 'forende']	forende	03.01	03.025.6.0
['yard', 'hestelængde', 'rækkevidde', 'bagbutik']	bagbutik	03.01	03.026.6.1
['langside', 'strækning', 'banelængde', 'kapselåbner']	kapselåbner	03.01	03.043.11.3
['snegrænse', 'synsrand', 'vandskel', 'allestedsnærværelse']	allestedsnærværelse	03.22	03.005.0.0
['skovbryn', 'halskant', 'randområde', 'etage']	etage	03.22	03.009.7.0
['isrand', 'mur', 'yderområde', 'spindel']	spindel	03.22	03.011.18.0
['strandbred', 'horisont', 'snegrænse', 'bukning']	bukning	03.22	03.012.3.4
['bryn', 'territoriegrænse', 'skillepunkt', 'forskydning']	forskydning	03.22	03.013.5.0
['brudlinje', 'vandskel', 'vestgrænse', 'lyskryds']	lyskryds	03.22	03.014.3.2
['bred', 'vestgrænse', 'trægrænse', 'udhæng']	udhæng	03.22	03.016.0.0
['afgrænsning', 'bladrand', 'naboskel', 'højrekantspiller']	højrekantspiller	03.22	03.030.6.1
