candidates	label	core_group_placement	outlier_placement
['supernova', 'fiksstjerne', 'aftenstjerne', 'exosfære']	exosfære	01.002.stjerne.0	himmellegeme.planet.0
['ledestjerne', 'galaksehob', 'stjernehob', 'hob']	ledestjerne	01.002.galakse.0	himmellegeme.stjerne.0
['Mælkevejen', 'natside', 'mælkevejssystem', 'mælkevej']	natside	01.002.galakse.1	himmellegeme.planet.0
['planet', 'klode', 'kæmpeplanet', 'hob']	hob	01.002.planet.0	himmellegeme.galakse.2
['drabant', 'satellit', 'måne', 'kæmpe']	kæmpe	01.002.planet.2	himmellegeme.stjerne.0
['kvasar', 'exosfære', 'magnetosfære', 'fotosfære']	kvasar	01.002.planet.4	himmellegeme.stjerne.0
['komet', 'komethale', 'nedslag', 'koma']	nedslag	01.002.komet.0	stjernestøv.meteor.0
['komethale', 'ildkugle', 'stjerneskud', 'meteor']	komethale	01.002.meteor.0	stjernestøv.komet.0
['protuberans', 'solvind', 'solfakkel', 'efterårspunkt']	efterårspunkt	01.002.Solen.1	Solen.solhøjde.1
['gry', 'morgenrøde', 'kromosfære', 'dagning']	kromosfære	01.002.solskin.1	Solen.Solen.2
['solnedgangstid', 'tusmørke', 'aftenstid', 'middag']	middag	01.002.solskin.2	Solen.solhøjde.2
['solhøjde', 'indstråling', 'solfakkel', 'middagshøjde']	solfakkel	01.002.solhøjde.0	Solen.Solen.1
['midsommeraften', 'aftenstid', 'midsommernat', 'midsommertid']	aftenstid	01.002.solhøjde.1	Solen.solskin.6
['solbane', 'efterårsjævndøgn', 'forårspunkt', 'jævndøgn']	solbane	01.002.solhøjde.3	Solen.Solen.0
['kromosfære', 'sommersolhverv', 'solhverv', 'vintersolhverv']	kromosfære	01.002.solhøjde.4	Solen.Solen.2
['halvmånen', 'månesegl', 'månekalender', 'fuldmånen']	månekalender	01.002.Månen.2	Månen.månefase.0
['månekalender', 'halvmåne', 'månesten', 'supermåne']	månesten	01.002.månefase.0	Månen.selenologi.0
['månekalender', 'måneskær', 'månestråle', 'månelys']	månekalender	01.002.måneskin.0	Månen.månefase.0
['vejrsituation', 'vejrforhold', 'møgvejr', 'vejr']	møgvejr	01.005.vejr.0	vejr.dårligt vejr.1
['vejrguderne', 'stille', 'vejrfænomen', 'naturkraft']	stille	01.005.vejr.1	vejr.godt vejr.0
['magsvejr', 'lortevejr', 'møgvejr', 'hundevejr']	magsvejr	01.005.dårligt vejr.0	vejr.godt vejr.1
['magsvejr', 'stille', 'aftenkølighed', 'vindstille']	aftenkølighed	01.005.godt vejr.1	vejr.køligt vejr.1
['kølighed', 'kulde', 'aftenkølighed', 'klima']	klima	01.005.køligt vejr.0	vejr.vejr.0
['banke', 'fugtighed', 'konvektion', 'fugt']	konvektion	01.005.luft.5	luft.luftmasse.0
['dug', 'dugperle', 'luft', 'dugdråbe']	luft	01.005.luft.6	luft.luftmasse.1
['bjergluft', 'luftmasse', 'luft', 'vejr']	bjergluft	01.005.luftmasse.0	luft.luft.1
['rimtåge', 'skyformation', 'skymasse', 'skybanke']	rimtåge	01.005.sky.0	luft.luftmasse.0
['nimbus', 'gustfront', 'iltkoncentration', 'uvejrssky']	iltkoncentration	01.005.sky.2	luft.luftlag.0
['cirrussky', 'fjersky', 'rimtåge', 'cirrostratus']	rimtåge	01.005.sky.3	luft.luftmasse.0
['luftstrøm', 'altostratus', 'lammesky', 'altocumulus']	luftstrøm	01.005.sky.5	luft.luftmasse.0
['stratussky', 'tågesky', 'stratus', 'snetykning']	snetykning	01.005.sky.6	luft.luft.1
['luftlag', 'jetstrøm', 'lufthav', 'skymasse']	skymasse	01.005.luftlag.0	luft.sky.1
