idx	target	pos	first_context	first_word	first_position	second_context	second_word	second_position	label
1	A	sb.	Verner, du kan komme op til tavlen og skrive en pæn række A'er	A'er	(58, 62)	Metroen i Rom består af to linjer, linje A og B	A	(41, 42)	different_sense
2	accept	sb.	Små børn skal have kærlighed og accept	accept	(32, 38)	Der er aftagende accept af skilsmisse og utroskab, også blandt de yngre	accept	(17, 23)	same_sense
3	accept	sb.	Intet er hidtil blevet gennemført i EF uden fransk accept	accept	(51, 57)	Små børn skal have kærlighed og accept	accept	(32, 38)	different_sense
4	accept	sb.	Intet er hidtil blevet gennemført i EF uden fransk accept	accept	(51, 57)	Der er aftagende accept af skilsmisse og utroskab, også blandt de yngre	accept	(17, 23)	different_sense
5	adgang	sb.	I fem uger om efteråret har publikum adgang til parken	adgang	(37, 43)	"for foden af klitten stod der et skilt med ""Privat — Adgang forbudt"""	Adgang	(53, 59)	same_sense
6	adgang	sb.	hvis alle kvinder havde adgang til prævention, ville børnetallet falde med 38 pct.	adgang	(24, 30)	et demokratisk samfund forudsætter lige adgang til uddannelse, bolig og arbejde	adgang	(40, 46)	same_sense
9	adgang	sb.	"for foden af klitten stod der et skilt med ""Privat — Adgang forbudt"""	Adgang	(53, 59)	hvis alle kvinder havde adgang til prævention, ville børnetallet falde med 38 pct.	adgang	(24, 30)	different_sense
7	adgang	sb.	I fem uger om efteråret har publikum adgang til parken	adgang	(37, 43)	hvis alle kvinder havde adgang til prævention, ville børnetallet falde med 38 pct.	adgang	(24, 30)	different_sense
8	adgang	sb.	I fem uger om efteråret har publikum adgang til parken	adgang	(37, 43)	et demokratisk samfund forudsætter lige adgang til uddannelse, bolig og arbejde	adgang	(40, 46)	different_sense
11	adskillelse	sb.	Flere af billedpladerne .. er noget skrammede og bulede; det kunne tyde på, at karret før adskillelsen har været længe i brug	adskillelsen	(90, 102)	Der var ingen adskillelse mellem privatliv og arbejdsliv — man var kunstner 24 timer i døgnet	adskillelse	(14, 25)	same_sense
12	adskillelse	sb.	Flere af billedpladerne .. er noget skrammede og bulede; det kunne tyde på, at karret før adskillelsen har været længe i brug	adskillelsen	(90, 102)	Jeg tog til Paris for at se Michel igen efter fire års adskillelse	adskillelse	(55, 66)	different_sense
15	adskillelse	sb.	Der var ingen adskillelse mellem privatliv og arbejdsliv — man var kunstner 24 timer i døgnet	adskillelse	(14, 25)	En let væg med en rund spindeltrappe danner adskillelse mellem de to rum	adskillelse	(44, 55)	different_sense
13	adskillelse	sb.	Der var ingen adskillelse mellem privatliv og arbejdsliv — man var kunstner 24 timer i døgnet	adskillelse	(14, 25)	Jeg tog til Paris for at se Michel igen efter fire års adskillelse	adskillelse	(55, 66)	different_sense
17	afdeling	sb.	Fra spisestuen har man et fint kig ind på endnu en spiseplads, nemlig en lille afdeling i dagligstuen	afdeling	(79, 87)	det med bleer og sutteflaske bliver ikke helt min afdeling, griner Ole Eskildsen	afdeling	(50, 58)	same_sense
22	afdeling	sb.	Koncertens første del rummer værker af bl.a. Waldteufel og Lumbye, mens anden afdeling fyldes af Johann Strauss	afdeling	(78, 86)	det med bleer og sutteflaske bliver ikke helt min afdeling, griner Ole Eskildsen	afdeling	(50, 58)	different_sense
20	afdeling	sb.	Novo-koncernen består ud over den danske afdeling af en lang række datterselskaber i udlandet	afdeling	(41, 49)	det med bleer og sutteflaske bliver ikke helt min afdeling, griner Ole Eskildsen	afdeling	(50, 58)	different_sense
19	afdeling	sb.	Novo-koncernen består ud over den danske afdeling af en lang række datterselskaber i udlandet	afdeling	(41, 49)	Fra spisestuen har man et fint kig ind på endnu en spiseplads, nemlig en lille afdeling i dagligstuen	afdeling	(79, 87)	different_sense
23	affære	sb.	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	affæren	(31, 38)	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	affære	(29, 35)	same_sense
24	affære	sb.	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	affæren	(31, 38)	Hvad skal jeg gøre? Jeg tror, at Peter har en affære med en af pigerne på kontoret	affære	(46, 52)	different_sense
25	affære	sb.	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	affære	(29, 35)	Hvad skal jeg gøre? Jeg tror, at Peter har en affære med en af pigerne på kontoret	affære	(46, 52)	different_sense
28	afgift	sb.	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	afgifter	(27, 35)	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	afgifter	(41, 49)	same_sense
26	afgift	sb.	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	afgifter	(27, 35)	same_sense
27	afgift	sb.	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	afgifter	(41, 49)	same_sense
31	afgift	sb.	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	Eneforfattere og bidragydere til billedbøger modtager afgift fra både pulje 1 og 2	afgift	(54, 60)	different_sense
30	afgift	sb.	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	Hvis der betales med et Dankort, betaler .. du som kunde en afgift, og derudover betaler sælgeren en noget større afgift	afgift	(60, 66)	different_sense
35	afgift	sb.	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	afgifter	(41, 49)	Eneforfattere og bidragydere til billedbøger modtager afgift fra både pulje 1 og 2	afgift	(54, 60)	different_sense
36	afgørelse	sb.	[lægen] arbejder hver dag med de svære afgørelser, som kan betyde liv eller død	afgørelser	(39, 49)	Domsmandsrettens afgørelse ventes at falde sidst på eftermiddagen	afgørelse	(17, 26)	same_sense
37	afgørelse	sb.	efter en målløs første halvleg kom afgørelsen tre minutter efter pausen	afgørelsen	(35, 45)	Som afgørelse på et væddemål, vil jeg gerne have oplyst datoen for hans fødselsdag	afgørelse	(4, 13)	same_sense
41	afgørelse	sb.	Domsmandsrettens afgørelse ventes at falde sidst på eftermiddagen	afgørelse	(17, 26)	Som afgørelse på et væddemål, vil jeg gerne have oplyst datoen for hans fødselsdag	afgørelse	(4, 13)	different_sense
38	afgørelse	sb.	[lægen] arbejder hver dag med de svære afgørelser, som kan betyde liv eller død	afgørelser	(39, 49)	efter en målløs første halvleg kom afgørelsen tre minutter efter pausen	afgørelsen	(35, 45)	different_sense
40	afgørelse	sb.	Domsmandsrettens afgørelse ventes at falde sidst på eftermiddagen	afgørelse	(17, 26)	efter en målløs første halvleg kom afgørelsen tre minutter efter pausen	afgørelsen	(35, 45)	different_sense
42	aflejring	sb.	De øverste jordlag vil ofte bestå af aflejringer med et indhold af organisk stof	aflejringer	(37, 48)	Længere tids overdosering med jerntilskud kan føre til aflejring af jern i vævene	aflejring	(55, 64)	same_sense
43	aflejring	sb.	De øverste jordlag vil ofte bestå af aflejringer med et indhold af organisk stof	aflejringer	(37, 48)	Det rindende vand sørger for bjergenes nedbrydning samt for transport og aflejring af materialet i havene	aflejring	(73, 82)	different_sense
44	aflejring	sb.	Længere tids overdosering med jerntilskud kan føre til aflejring af jern i vævene	aflejring	(55, 64)	Det rindende vand sørger for bjergenes nedbrydning samt for transport og aflejring af materialet i havene	aflejring	(73, 82)	different_sense
45	afløb	sb.	Husk at rensevæsker, syrer og andre stærke produkter ikke må hældes i afløbet	afløbet	(70, 77)	To hundrede millioner liter krystalklart drikkevand forsvinder hver dag ud i afløbet, når danskerne går på toilettet	afløbet	(77, 84)	same_sense
47	afløb	sb.	To hundrede millioner liter krystalklart drikkevand forsvinder hver dag ud i afløbet, når danskerne går på toilettet	afløbet	(77, 84)	næsedråber .. får slimhindehævelsen til at aftage, så afløbet fra bihulerne bedres	afløbet	(54, 61)	different_sense
46	afløb	sb.	Husk at rensevæsker, syrer og andre stærke produkter ikke må hældes i afløbet	afløbet	(70, 77)	næsedråber .. får slimhindehævelsen til at aftage, så afløbet fra bihulerne bedres	afløbet	(54, 61)	different_sense
48	afløb	sb.	Husk at rensevæsker, syrer og andre stærke produkter ikke må hældes i afløbet	afløbet	(70, 77)	Gå ud og hug noget brænde. Så får du afløb for din hidsighed	afløb	(37, 42)	different_sense
51	afsked	sb.	vi tager afsked med det gamle år, nogle med glæde, andre med sorg	afsked	(9, 15)	Efter 35 år i statens tjeneste søgte jeg min afsked og fik den lille pension	afsked	(45, 51)	same_sense
53	afsked	sb.	Efter en vellykket fødselsdagsfest tog de afsked med det smilende værtspar	afsked	(42, 48)	vi tager afsked med det gamle år, nogle med glæde, andre med sorg	afsked	(9, 15)	different_sense
54	afsked	sb.	Efter en vellykket fødselsdagsfest tog de afsked med det smilende værtspar	afsked	(42, 48)	Efter 35 år i statens tjeneste søgte jeg min afsked og fik den lille pension	afsked	(45, 51)	different_sense
56	afsked	sb.	I Stockholms Stadshus har en hel verden taget en gribende afsked med den myrdede statsminister. Olof Palme er myrdet, men han vil aldrig dø!	afsked	(58, 64)	Efter 35 år i statens tjeneste søgte jeg min afsked og fik den lille pension	afsked	(45, 51)	different_sense
57	afskærmning	sb.	Afskærmning er .. påkrævet ved gammastråling	Afskærmning	(0, 11)	afskærmningens art .. og afskærmningens tykkelse er bestemmende for beskyttelsesvirkningen	afskærmningens	(0, 14)	different_sense
58	afslutning	sb.	regeringen forventer, at denne sag hurtigt bliver bragt til afslutning	afslutning	(60, 70)	De baltiske lande var fra 1700-tallet og frem til afslutningen af den 1. verdenskrig provinser i det russiske imperium	afslutningen	(50, 62)	same_sense
66	afslutning	sb.	De baltiske lande var fra 1700-tallet og frem til afslutningen af den 1. verdenskrig provinser i det russiske imperium	afslutningen	(50, 62)	den 10. juni har vi afslutning .. hvor vi får vores uddannelsesbevis overrakt	afslutning	(20, 30)	different_sense
60	afslutning	sb.	De baltiske lande var fra 1700-tallet og frem til afslutningen af den 1. verdenskrig provinser i det russiske imperium	afslutningen	(50, 62)	Eksamensstilen er afslutningen på arbejdet med skriftlig fremstilling	afslutningen	(18, 30)	different_sense
