candidates	label	core_group_placement	outlier_placement
['hob', 'spiralgalakse', 'Mælkevejen', 'galaksehob']	Mælkevejen	01.002.galakse.0	himmellegeme.galakse.1
['mælkevejssystem', 'Mælkevejen', 'hob', 'mælkevej']	hob	01.002.galakse.1	himmellegeme.galakse.2
['planet', 'natside', 'kæmpeplanet', 'asteroide']	natside	01.002.planet.0	himmellegeme.planet.0
['måne', 'magnetosfære', 'biplanet', 'drabant']	magnetosfære	01.002.planet.2	himmellegeme.planet.1
['natside', 'magnetosfære', 'exosfære', 'fotosfære']	natside	01.002.planet.4	himmellegeme.planet.0
['inklinationsvinkel', 'inklination', 'hældning', 'bredde']	bredde	01.002.polhøjde.5	polhøjde.polhøjde.1
['fase', 'døgn', 'omløbstid', 'latitude']	latitude	01.002.polhøjde.7	polhøjde.polhøjde.0
['stjernekonstellation', 'stjerneglobus', 'konstellation', 'stjernebillede']	stjerneglobus	01.002.konstellation.0	konstellation.konstellation.1
['himmelglobus', 'elongation', 'stjerneglobus', 'stjernekort']	elongation	01.002.konstellation.3	konstellation.konstellation.0
['udstråling', 'himmelhvælv', 'himmelbue', 'himmelhvælving']	udstråling	01.002.himmel.1	himmel.himmel.6
['nattehimmel', 'himmelbue', 'stjernehimmel', 'stjernevrimmel']	himmelbue	01.002.himmel.3	himmel.himmel.1
['glans', 'stjernelys', 'udstråling', 'himmelbue']	himmelbue	01.002.himmel.5	himmel.himmel.1
['ildkugle', 'stjerneskud', 'bolide', 'meteorit']	meteorit	01.002.meteor.0	stjernestøv.meteor.0
['solfakkel', 'protuberans', 'solvind', 'solbane']	solbane	01.002.Solen.1	Solen.Solen.0
['morgenrøde', 'aftenrøde', 'solopgang', 'dagbrækning']	aftenrøde	01.002.solskin.1	Solen.solskin.11
['daggry', 'aftenstid', 'solnedgangstid', 'skumring']	daggry	01.002.solskin.2	Solen.solskin.0
['middag', 'indstråling', 'polarnat', 'middagshøjde']	polarnat	01.002.solhøjde.0	Solen.solhøjde.0
['midsommernat', 'indstråling', 'midsommeraften', 'midsommertid']	indstråling	01.002.solhøjde.1	Solen.solhøjde.1
['ny', 'fuldmåne', 'supermåne', 'månekalender']	ny	01.002.månefase.0	Månen.månefase.0
['vejrsituation', 'vejr', 'vejrforhold', 'klima']	klima	01.005.vejr.0	vejr.vejr.0
['naturkraft', 'vejrguderne', 'vejrfænomen', 'klima']	klima	01.005.vejr.1	vejr.vejr.0
['vejrskift', 'vejrforandring', 'tørvejr', 'vejromslag']	tørvejr	01.005.vejrskift.0	vejrskift.vejrskift.0
['vejrskifte', 'opklaring', 'opholdsvejr', 'tørvejr']	vejrskifte	01.005.vejrskift.2	vejrskift.vejrskift.0
['frostluft', 'tågebanke', 'fugtighed', 'tågesky']	frostluft	01.005.luft.5	luft.luft.0
['frostluft', 'dugdråbe', 'dug', 'dugperle']	frostluft	01.005.luft.6	luft.luft.0
['skydække', 'skybanke', 'sky', 'nimbus']	nimbus	01.005.sky.0	luft.sky.1
['fjersky', 'rullesky', 'uvejrssky', 'dravat']	fjersky	01.005.sky.2	luft.sky.0
['cirrostratus', 'fjersky', 'cirrussky', 'stratus']	stratus	01.005.sky.3	luft.sky.1
['altostratus', 'lammesky', 'klodesky', 'altocumulus']	klodesky	01.005.sky.5	luft.sky.0
['altocumulus', 'stratussky', 'tågesky', 'stratus']	altocumulus	01.005.sky.6	luft.sky.0
['telemåling', 'farvandsudsigt', 'kulingvarsel', 'vejrvarsel']	telemåling	01.005.meteorologi.2	meteorologi.meteorologi.0
['målestation', 'meteorolog', 'vejrprofet', 'statsmeteorolog']	målestation	01.005.meteorolog.0	meteorolog.meteorolog.0
['vejrhane', 'hane', 'anemometer', 'vindpose']	anemometer	01.005.vindmåler.1	barometer.vindmåler.0
['storm', 'sekundmeter', 'vindstyrke', 'm/sek.']	storm	01.005.vindhastighed.0	barometer.vindhastighed.1
['storm', 'kuling', 'orkan', 'sekundmeter']	sekundmeter	01.005.vindhastighed.1	barometer.vindhastighed.1
['kuldegrader', 'minusgrader', 'chillfaktor', 'frostgrader']	chillfaktor	01.005.temperaturforhold.5	barometer.temperaturforhold.0
['lavtrykssystem', 'millibar', 'mb', 'trykforhold']	lavtrykssystem	01.005.trykforhold.0	barometer.trykforhold.0
['højtryk', 'højtryksområde', 'anticyklon', 'lavtrykssystem']	lavtrykssystem	01.005.trykforhold.2	barometer.trykforhold.0
['aksil', 'strå', 'stok', 'stængel']	knæ	02.003.stilk.0	stilk.stilk.0
['græsstrå', 'halmstrå', 'græs', 'aksil']	aksil	02.003.stilk.1	stilk.stilk.2
['kvas', 'birkeris', 'ris', 'pinde']	pinde	02.003.gren.3	stilk.gren.0
['knold', 'stængelknold', 'oplagsnæring', 'græsrod']	græsrod	02.003.rod.0	rod.rod.0
['hår', 'pig', 'burre', 'spalteåbning']	spalteåbning	02.003.udvækst.0	udvækst.udvækst.0
['pig', 'birkepollen', 'pollen', 'pollenkorn']	pig	02.003.udvækst.2	udvækst.udvækst.1
['støvfang', 'støvblad', 'jasminblomst', 'blomsterblad']	jasminblomst	02.003.blomst.0	blomst.blomst.0
['roefrø', 'korn', 'sæd', 'blomsterfrø']	roefrø	02.003.frø.0	frø.frø.6
['frøskal', 'bananskal', 'avne', 'frøkappe']	bananskal	02.003.skal.2	skal.skal.2
['svamp', 'hat', 'frugtlegeme', 'hyfe']	hyfe	02.003.svamp.0	svamp.svamp.0
['ribbe', 'svampespore', 'sporesæk', 'spore']	ribbe	02.003.svamp.2	svamp.svamp.0
['elskov', 'undervognsbehandling', 'lagengymnastik', 'erotik']	undervognsbehandling	02.029.sex.0	sex.sex.0
['fellatio', 'blowjob', 'oralsex', 'kælen']	kælen	02.029.sex.5	sex.sex.5
['onenightstand', 'engangsknald', 'elskovsrede', 'engangsaffære']	elskovsrede	02.029.affære.0	flirteri.affære.0
['underlivsorgan', 'underlivet', 'anatomi', 'genitalier']	anatomi	02.029.kønsdel.0	kønsdel.kønsdel.0
['kønsbehåring', 'underlivsorgan', 'kussehår', 'pubeshår']	underlivsorgan	02.029.kønsdel.2	kønsdel.kønsdel.4
['hymen', 'skød', 'skede', 'vagina']	hymen	02.029.skede.0	kønsdel.skede.2
['mødom', 'jomfruhinde', 'kønskrans', 'tap']	tap	02.029.skede.2	kønsdel.skede.1
['svulmelegeme', 'tissemand', 'gøb', 'lem']	svulmelegeme	02.029.penis.0	kønsdel.penis.3
['nosser', 'testikel', 'klodser', 'sperm']	sperm	02.029.penis.2	kønsdel.penis.0
['mosevand', 'sperm', 'sæd', 'svulmelegeme']	svulmelegeme	02.029.penis.4	kønsdel.penis.3
