a	b	c	d
Nedsat hørelse hos småbørn kan bevirke at sprogudviklingen går i stå.	Nedsat hørelse har ingen betydning for små børns sprogudvikling.	false	Causation
Nedsat hørelse hos småbørn kan bevirke at sprogudviklingen går i stå.	Småbørn med nedsat hørelse har ofte en langsommere sprogudvikling.	true	Causation
Nedsat hørelse hos småbørn kan bevirke at sprogudviklingen går i stå.	Nedsat hørelse har stor betydning for små børns sprogudvikling.	true	Causation
Kartoffelkuren bevirkede en kraftig stigning i arbejdsløsheden.	Arbejdsløsheden blev større efter indførelsen af Kartoffelkuren.	true	Causation
Kartoffelkuren bevirkede en kraftig stigning i arbejdsløsheden.	Arbejdsløsheden faldt efter indførelsen af Kartoffelkuren.	false	Causation
Kartoffelkuren bevirkede en kraftig stigning i arbejdsløsheden.	Arbejdsløsheden ændrede sig ikke efter indførelsen af Kartoffelkuren.	false	Causation
Kartoffelkuren bevirkede en kraftig stigning i arbejdsløsheden.	Kartoffelkuren påvirkede ikke arbejdsløsheden.	false	Causation
Loven medførte at næsten alle dødsdømte blev benådet. 	Efter lovens indførelse blev færre dødsdømte henrettet.	true	Causation
Loven medførte at næsten alle dødsdømte blev benådet. 	Efter lovens indførelse blev de fleste dødsdømte henrettet.	false	Causation
Loven medførte at næsten alle dødsdømte blev benådet. 	Efter lovens indførelse blev mange dødsdømte benådet. 	true	Causation
Eksplosionen medførte svære skader på bygningen.	Efter eksplosionen havde bygningen faet mange skader. 	true	Causation
Eksplosionen medførte svære skader på bygningen.	Efter eksplosionen var bygningen ubeskadiget. 	false	Causation
Eksplosionen medførte svære skader på bygningen.	Bygningen fik ingen skader af eksplosionen.	false	Causation
"Værket ""Hesteofringen"" indebar bl.a. slagtning af en hest. "	"En hest blev slagtet i værket ""Hesteofringen""."	true	Causation
"Værket ""Hesteofringen"" indebar bl.a. slagtning af en hest. "	"Hesten blev ikke slagtet i værket ""Hesteofringen""."	false	Causation
"Værket ""Hesteofringen"" indebar bl.a. slagtning af en hest. "	"Hesten i værket ""Hesteofringen"" levede videre."	false	Causation
Olieprisernes himmelflugt i 1970erne gav industrien stødet til at spare på råenergien. Da oliepriserne steg, begyndte industrien at spare på råenergien.	true	Causation
