target	candidates	label	comment	section
himmellegeme	['forårsstorm', 'mælkevejssystem', 'pret-a-porter', 'himmelobjekt']	himmelobjekt	true synonym	01.002
kæmpestjerne	['hækkeløb', 'kæmpe', 'mælkevejssystem', 'kulingvarsel']	kæmpe	true synonym	01.002
galakse	['storm', 'seminarist', 'stjernetåge', 'sol']	stjernetåge	true synonym	01.002
planet	['sammenkog', 'pulsar', 'kunsttidsskrift', 'klode']	klode	true synonym	01.002
latitude	['egnsudviklingsområde', 'indkøringsperiode', 'inklination', 'bredde']	bredde	true synonym	01.002
hældning	['latitude', 'inklination', 'idéplan', 'pyt']	inklination	true synonym	01.002
himmelhvælv	['magnitude', 'himmelhvælving', 'adstadighed', 'sammenrodning']	himmelhvælving	true synonym	01.002
størrelsesklasse	['miljøteknik', 'replik', 'magnitude', 'himmelhvælving']	magnitude	true synonym	01.002
ildkugle	['bolide', 'nedslag', 'anløbsplads', 'alternativsamfund']	bolide	true synonym	01.002
meteorregn	['meteorkrater', 'meteorsværm', 'vold', 'udskilningsløb']	meteorsværm	true synonym	01.002
solskin	['sol', 'væskeblanding', 'interessekonflikt', 'vintersolhverv']	sol	true synonym	01.005
vejrskift	['tørvejr', 'blodkredsløb', 'vejrskifte', 'planetsystem']	vejrskifte	true synonym	01.005
havluft	['kontamination', 'stratussky', 'søluft', 'øhav']	søluft	true synonym	01.005
regnsky	['opholdsret', 'frontsystem', 'nimbus', 'dryp']	nimbus	true synonym	01.005
cirrussky	['fjersky', 'slørsky', 'jordskorpe', 'vantro']	fjersky	true synonym	01.005
iltindhold	['sansehave', 'frostluft', 'iltkoncentration', 'pludselighed']	iltkoncentration	true synonym	01.005
vejrudsigt	['telemåling', 'Sjølund', 'vejrprognose', 'psykopati']	vejrprognose	true synonym	01.005
vindmåler	['anemometer', 'varmegrad', 'forsvarsskrift', 'fastlandsskrænt']	anemometer	true synonym	01.005
klimabælte	['klimazone', 'religionshistoriker', 'polarcirkel', 'm/sek.']	klimazone	true synonym	01.005
forår	['kratskov', 'eftersommer', 'vår', 'limbo']	vår	true synonym	01.005
sensommer	['kortlægning', 'eftersommer', 'forårstid', 'tryghed']	eftersommer	true synonym	01.005
trækrone	['forgiftningsulykke', 'grannål', 'krone', 'absolutist']	krone	true synonym	02.003
grønkorn	['spalteåbning', 'impuls', 'kloroplast', 'død']	kloroplast	true synonym	02.003
birkes	['narkoselæge', 'kakaobønne', 'kongruens', 'birkesfrø']	birkesfrø	true synonym	02.003
sennepsfrø	['rugemor', 'voksensnak', 'sennepskorn', 'birkesfrø']	sennepskorn	true synonym	02.003
hvedekorn	['hunkøn', 'nåde', 'hestebønne', 'hvedefrø']	hvedefrø	true synonym	02.003
onani	['masturbation', 'pirring', 'fordel', 'kennel']	masturbation	true synonym	02.029
kønsbehåring	['kønshår', 'retorik', 'opkastning', 'jomfruhinde']	kønshår	true synonym	02.029
skede	['vagina', 'basunkinder', 'tilmeldingsfrist', 'mosevand']	vagina	true synonym	02.029
erektion	['rejsning', 'udbygning', 'penis', 'hashplante']	rejsning	true synonym	02.029
orgasme	['vækning', 'udløsning', 'vellyst', 'biograftur']	udløsning	true synonym	02.029
bodypainting	['bodypaint', 'strippoker', 'gigt', 'militærdiktatur']	bodypaint	true synonym	02.029
faun	['akilleshæl', 'partnerbytte', 'narkotikalovgivning', 'satyr']	satyr	true synonym	02.029
sexliv	['seksualliv', 'driftsliv', 'hårfjerningsmiddel', 'makkerpar']	seksualliv	true synonym	02.029
heteroseksualitet	['lillefredag', 'heterofili', 'bifili', 'seksualvejleder']	heterofili	true synonym	02.029
homoseksualitet	['pris', 'homofili', 'køn', 'bryg']	homofili	true synonym	02.029
biseksualitet	['bifili', 'ævleri', 'kvindelighed', 'tørkloset']	bifili	true synonym	02.029
sexchikane	['ufrugtbarhed', 'sexisme', 'hadforbrydelse', 'skinhellighed']	sexisme	true synonym	02.029
seksualpartner	['absence', 'herskerinde', 'sexpartner', 'livssammenhæng']	sexpartner	true synonym	02.029
biseksuel	['mathed', 'bifil', 'selvregulering', 'svans']	bifil	true synonym	02.029
armlængde	['dybde', 'checkhæfte', 'armslængde', 'struktur']	armslængde	true synonym	03.001
omfang	['todimensionalitet', 'størrelse', 'kød', 'svæveflyvning']	størrelse	true synonym	03.001
kontur	['omrids', 'forstyrrelse', 'kiming', 'afklapsning']	omrids	true synonym	03.022
horisont	['synsrand', 'frekvens', 'kirkelighed', 'skovgrænse']	synsrand	true synonym	03.022
ordenstal	['forvrængning', 'divisor', 'udkomme', 'ordinaltal']	ordinaltal	true synonym	04.033
personnummer	['zenit', 'j.nr.', 'CPR-nummer', 'brumbasse']	CPR-nummer	true synonym	04.033
husnummer	['seksling', 'stridshandske', 'hovednummer', 'vejnummer']	vejnummer	true synonym	04.033
titalssystem	['myriader', 'decimalsystem', 'forbrugsbeskatning', 'grundtal']	decimalsystem	true synonym	04.033
middelværdi	['fyrreårsdag', 'middeltal', 'fuldstændighed', 'machtal']	middeltal	true synonym	04.033
karaktergennemsnit	['gennemsnitskarakter', 'x', 'tandpastasmil', 'velvilje']	gennemsnitskarakter	true synonym	04.033
regneenhed	['talkolonne', 'mobilsvar', 'vandkvalitet', 'regningsenhed']	regningsenhed	true synonym	04.033
regningsart	['regneart', 'bebyggelsesprocent', 'deling', 'buffer']	regneart	true synonym	04.033
multiplikation	['septet', 'indeksering', 'gangning', 'anbefaling']	gangning	true synonym	04.033
forhold	['kvadrat-', 'størrelsesforhold', 'fodsbred', 'samfundsrevser']	størrelsesforhold	true synonym	04.033
enkelthed	['krog', 'atriumhus', 'pladsmangel', 'detalje']	detalje	true synonym	04.040
felt	['område', 'overlegenhed', 'flig', 'følelsesliv']	område	true synonym	04.040
brudstykke	['komparativ', 'fragment', 'ingrediens', 'forrider']	fragment	true synonym	04.040
halvdel	['ubegrænsethed', 'hoveddelen', 'muslingeskal', 'halvpart']	halvpart	true synonym	04.040
livvagt	['redningstjeneste', 'observatorium', 'sondring', 'bodyguard']	bodyguard	true synonym	05.013
barndom	['afstrømning', 'karriere', 'senfirserne', 'barneår']	barneår	true synonym	06.002
studieår	['panikalder', 'omkørselsvej', 'akuthjælp', 'studietid']	studietid	true synonym	06.002
midtvejskrise	['krematorieovn', 'galgenfrist', 'barneår', 'midtlivskrise']	midtlivskrise	true synonym	06.002
livsforløb	['livsløb', 'uregelmæssighed', 'alderstrin', 'færdighus']	livsløb	true synonym	06.002
standur	['B-menneske', 'solskive', 'henlæggelse', 'standerur']	standerur	true synonym	06.013
tidsregning	['planner', 'stamfader', 'særhed', 'kalender']	kalender	true synonym	06.013
grundfarve	['kobber', 'ly', 'rødstensvilla', 'primærfarve']	primærfarve	true synonym	07.015
efterårsfarve	['gadelys', 'høstfarve', 'fordobling', 'grundfarve']	høstfarve	true synonym	07.015
farvetone	['farvenuance', 'guldfisk', 'anmelderroser', 'sølv']	farvenuance	true synonym	07.015
hårfarve	['middagstime', 'hårfarvningsmiddel', 'læder', 'toner']	hårfarvningsmiddel	true synonym	07.015
maling	['metalglans', 'pludder', 'skægstub', 'malerfarve']	malerfarve	true synonym	07.015
træbeskyttelse	['soltørring', 'udpumpning', 'bonevoks', 'træbeskyttelsesmiddel']	træbeskyttelsesmiddel	true synonym	07.015
akvarelmaling	['pibeler', 'tankeform', 'akvarelfarve', 'høreapparat']	akvarelfarve	true synonym	07.015
trykfarve	['tryksværte', 'betalingsevne', 'klappen', 'fernis']	tryksværte	true synonym	07.015
oliekridt	['blandingsfarve', 'farvekridt', 'tvetydighed', 'smerte']	farvekridt	true synonym	07.015
