target	first_context	second_context	label	idx	pos	first_word	first_position	second_word	second_position																
nål	før i tiden, da skulle man sætte [sommerfuglene] på nåle og sådan noget, det syntes jeg var synd for dem	jeg skulle have briller. Det var jeg nødt til, for jeg kunne ikke finde hullet i nålen	same_sense	8720	sb.	nåle	(52, 56)	nålen	(81, 86)																
kylling	Det er dejligt at se hønen strejfe om i haven med sine kyllinger	Strudsens æg er 42 dage om at blive ruget ud og det tager kyllingen 12-14 måneder at blive fuldvoksen	same_sense	6547	sb.	kyllinger	(55, 64)	kyllingen	(58, 67)																
kemi	Alt i pakken er lavet af økologisk bomuld og fri for skadelig kemi	Ikke mere kemi i maden	same_sense	5481	sb.	kemi	(62, 66)	kemi	(10, 14)																
platform	Fra en platform højt oppe under loftet skulle jeg springe ned og gribe fat i trapezen	Bønderne i EF ville uden tvivl få store vanskeligheder med at formulere en fælles platform for en reform	different_sense	9504	sb.	platform	(7, 15)	platform	(82, 90)																
atom	Hvad er stoffets mindste byggesten? Atomer består af en kerne og elektroner, kernen er protoner og neutroner	De fleste sangfugle er så små, at et skud hagl næsten splitter dem ad i atomer	different_sense	584	sb.	Atomer	(36, 42)	atomer	(72, 78)																
rejse	Hun var meget træt, da de ankom til Århus. Rejsen havde varet næsten 3 timer	Forestillingen er en rejse gennem den menneskelige bevidstheds veje og vildveje	different_sense	10300	sb.	Rejsen	(43, 49)	rejse	(21, 26)																
vej	Hvis det ikke var blevet jura, hvilken vej var De så gået?	Københavns Kommune er på farlig vej med sin godkendelse af et islamisk kulturcenter på Amager	same_sense	15512	sb.	vej	(39, 42)	vej	(32, 35)																
bund	Det vil være en god idé at anlægge en fast bund under pavillonen, fx af fliser	[en] nat faldt bunden ud af den seng, min ægtemand sov i	same_sense	1490	sb.	bund	(43, 47)	bunden	(15, 21)																
saft	Pres citronen og hæld saften i æggesnapsen	i naturen kender de fleste den flotte bjørneklo, hvis saft giver aflange blærer og røde striber, hvis du kommer for tæt på den	different_sense	10828	sb.	saften	(22, 28)	saft	(54, 58)																
side	Af uforklarlige årsager kørte han over i den forkerte side af vejen, og den modkørende bilists undvigemanøvre mislykkedes	det kan vi desværre ikke nå at gøre noget ved på denne side af jul	different_sense	11418	sb.	side	(54, 58)	side	(55, 59)																
kendelse	I en opsigtsvækkende kendelse besluttede de juridiske dommere .. at offentligheden ikke skal have indblik i sagen	Med en længe ventet kendelse har Industriministeriets Erhvervsankenævn .. sat det sidste punktum i en af 1980-ernes finansskandaler	same_sense	5491	sb.	kendelse	(21, 29)	kendelse	(20, 28)																
konstitution	takket være sin gode konstitution kom han sig væsentligt hurtigere over sygdommen, end et almindeligt trænet menneske ville gøre	Sydafrika er noget ganske særligt, fordi det dér er et led i landets konstitution, i landets grundlov, at man har raceadskillelse som princip	different_sense	5908	sb.	konstitution	(21, 33)	konstitution	(69, 81)																
plet	Modermærker er pletter på huden som indeholder varierende mængder af pigment	det kan ikke undgås, at især små børn, der leger ude, får pletter af græs på tøjet	same_sense	9523	sb.	pletter	(15, 22)	pletter	(58, 65)																
dagsorden	det var udforskningen af det kvindelige individ, der var sat på dagsordenen	Der står tre ting på dagsordenen de næste fjorten dage. Eksamen, fest og rejseforberedelse	same_sense	1807	sb.	dagsordenen	(64, 75)	dagsordenen	(21, 32)																
