target	first_context	second_context	label	comment
skibsladning	skibsladningen, der anløb Thisted Havn i går, svarer til 44 lastvognstog	For 380 år siden kom den første skibsladning tobak til Danmark, og siden da har tobak været en del af kulturen	same_sense	3311
følgesvend	jeg har selv haft en labrador som følgesvend i 11 år	Angsten var Kafkas følgesvend livet igennem	same_sense	1271
dollar	dollar, pund og yen [er] faldet i kurs på de internationale valutamarkeder	Pigerne elskede amerikanere, for dollaren stod i høj kurs det år	same_sense	797
rovdyr	Løver, hyæner og andre sultne rovdyr er også en trussel mod gepard-yngel, konstaterede de to naturskribenter	nogle [igler] er rovdyr (fx hesteigle) der overfalder orme, snegle og insektlarver	same_sense	3022
omverden	Barnets opfattelse af den fysiske omverden er direkte og umiddelbar	Armeniens præsident appellerer til omverdenen om at hjælpe republikken med humanitær hjælp og brændsel	same_sense	2557
mnemoteknik	vil man øve sig i mnemoteknik er det bare at begynde med de herlige dyrs danske navne — vandloppe, bjørnedyr, polypdyr, korsetdyr og så videre	Ordsprog skal huskes; derfor skal de formes efter mnemoteknikkens regler og erfaringer: korte, ofte rytmiske, med bogstavrim og enderim	same_sense	2347
didaktik	Didaktik handler om undervisningens målsætninger og metoder	Al forskning viser, at det ikke er lærernes faglige evner, men derimod didaktikken, der skal styrkes, hvis man vil gøre eleverne dygtigere	same_sense	764
skørtejæger	Jeg har mødt ham et par gange før, og han virker som en sød og flink fyr, selv om han også er lidt af en skørtejæger	Jacques Chirac var kendt for at være en uforbederlig skørtejæger, men ingen skandaler har nået avisernes spalter	same_sense	3370
syklub	Hans bor i Bjergby med sin kone, Pia .. Fritiden går bl.a. med at passe fritidslandbruget og syklubben, hvor der syes seletøj til køreheste	Vi har haft den syklub i tyve år. Vi har aldrig syet, men i min mors syklub tror jeg, de begyndte med at stoppe strømper og lappe børnetøj	same_sense	4455
surfbræt	Tony var bare helt suveræn, når han red på bølgerne og styrede surfbrættet med hele kroppen	Windsurfskolen er uhyre familievenlig, og på kun tre timer kan alle lære at manøvrere de seje surfbrætter i vandet	same_sense	3635
handske	Selv om vejret er mildt denne oktoberdag, fryser han lidt om hænderne. Hvorfor fanden glemte han at tage handsker på?	gang på gang skulle [officersfamilierne] i fine messeuniformer og lange kjoler og lange hvide handsker	same_sense	1439
forberedelse	Truede dyr i Danmark omfatter nu 6 bøger. Flere bøger i serien er under forberedelse	forberedelserne til undervisningen tager mindst et par timer hver dag	same_sense	1141
musikpædagog	i sognet er der ansat to musikpædagoger, som bl.a. deltager ved babysalmesang, børnegudstjenester og konfirmandundervisning	hun vil bruge skolen som springbræt til en karriere .. som koreograf eller som musikpædagog	same_sense	2420
bøje	han stod der ved roret og navigerede sin "Fairy Queen" mellem bøjerne, der afmærkede sejlrenden	Bøjen benyttes til at afmærke mindre farer og bør derfor ikke sejles for tæt på	same_sense	577
bekendt	Som 15-årig kom han i lære som murer hos en bekendt af forældrene	Jeg har ingen venner. Kun bekendte	same_sense	275
kabaretsanger	han blev Lulu Zieglers faste akkompagnatør i begyndelsen af hendes karriere som kabaretsanger	Efter at være kommet til Danmark i slutningen af 1940'erne lagde han grundstenen til sin karriere som pianist og som operette- og kabaretsanger	same_sense	4406
kollega	Betjenten havde sammen med en kollega anholdt to mænd efter værtshusuorden på en bodega	[Trafikministeren] vil fremføre kravet på et møde med sine skandinaviske kolleger i Stockholm den 8. april	same_sense	1832
sogn	I Danmarks 2200 sogne er der i alt 18.000 menighedsrådsmedlemmer	Kommunen består af 8 sogne med hver sin kirke, gadekær og flagstang	same_sense	3482
lommebog	Han trak sin lille lommebog frem og noterede beløbet	Man .. giver indtryk af betydningsfuldhed, travlhed og en overfyldt lommebog	same_sense	2076
dobbeltmoral	de taler om dobbeltmoral, hvis man siger ét og gør noget andet	moral er jo godt, så må dobbeltmoral være dobbelt så godt	same_sense	795
økse	han fandt en økse frem og huggede hovedet af anden	Han holdt regnskab med tiden ved med sin økse at hugge mærker i barken for hver dag	same_sense	4172
krans	Rundt om oksekødet lå citroner i en fin krans	Lige uden for voldene lå marker og åbent land. Lidt længere ude lå en krans af landsbyer: Husum, Vanløse, Brønshøj, Gentofte m.fl.	same_sense	1879
fjer	Kroppens fjer skal holde fuglen varm .. Fjerene på vingerne skal give vingerne form, så de får den bedst mulige opdrift	Store hatte med slør, fjer og blomster	same_sense	1085
affald	Da meget af affaldet er emballage, burde man måske, for at begrænse omfanget af affald, afskaffe emballagen hvor det vil være muligt	Staten regner med at affald, halm, træ og biogas skal dække ca. 7 % af energiforbruget i år 2010	same_sense	20
medfølelse	Med næsten smertelig medfølelse følger vi Evas oplevelse af Henriks flirten med Marianne	Sygeplejersken var enestående .. en af dem der havde arbejdet på intensiv afdeling i flere år uden at miste sin medfølelse	same_sense	2227
småbåd	hvad er mere oplagt end at tage plads i en af Toldbodens strandstole og slubre kølige dråber, mens havnerundfarter og småbåde tøffer forbi?	Pakhuse, hoteller og moderne lejlighedskomplekser spejler sig i det dybblå vand, og der er liv på havnen, hvor kuttere og småbåde sejler ud og ind	same_sense	3445
epoke	Anden Verdenskrig er den epoke i verdenshistorien, som har avlet den største mængde selvbiografisk og dokumentarisk litteratur	Da vi flyttede ind, begyndte en ny epoke i vores liv, hvor vi begyndte så godt som forfra med at anskaffe nyt indbo	same_sense	915
abort	katolikkerne [er] modstandere af abort	Et foster udenfor livmoderen vil altid resultere i en abort	same_sense	3
passager	Et øjeblik efter meddeltes over højttaleren at toget var aflyst, og at passagererne måtte tage S-toget til Høje Tåstrup	Hans datter, der var passager i bilen, slap uskadt fra ulykken	same_sense	2717
ledsager	Marlee er min faste ledsager, når jeg går ud til premierer og receptioner	Traditionelt serveres likøren som grundelementet i longdrinks eller som ledsager til desserter	same_sense	2033
lavenergipære	Juletræets lys, der bliver tændt fredag kl. 19.30, er lavenergipærer, som hver har et forbrug på 4 watt	Stedet er indrettet med lavenergipærer i lamperne, genbrugsmøbler og stedets sugerør er sågar lavet af majs	same_sense	2020
dyslektiker	Det er slet ikke nemt at være ordblind eller dyslektiker, som det også kaldes	Han var meget intelligent, men han var bare dyslektiker, tror jeg, og så kom han bagefter i undervisningen	same_sense	4646
beautyboks	En enorm beautyboks ligger på bordet, hvor syv mand står og sminker kroppen med store blodige sår og åbne brystbrud. De er figuranter i den største PET-øvelse nogensinde	kjoler pakkes i poser, der holder på form og facon. Hårbånd og beautybokse bakses på plads i den pressede kuffert	same_sense	249
orm	hvis der er masser af orm i jorden, betyder det, at der er masser af liv i det hele taget. Og så er jorden god	En kat, der færdes ude, vil uafbrudt blive udsat for angreb af orm	same_sense	2629
hertug	Christian IV [skrev] til sin svoger hertug Johan Adolf af Gottorp	Prins Philip, hertug af Edinburgh	same_sense	1488
småsparer	Mange småsparere satte f.eks. 10.000 kr. i solarieeventyret, der på papiret tegnede så smukt. I dag er kun 1.000 kr. tilbage	Skatten på investeringer skal sænkes, så almindelige småsparere motiveres til at investere deres penge, og så det bliver attraktivt for virksomheder at børsnotere sig i Danmark fremfor i udlandet	same_sense	3448
snes	De havde en sød lys datter på en halv snes år	jeg ryger en snes cigaretter om dagen	same_sense	3461
