target	context	form	position	label
abnorm	Den grimme søster med hareskåret var ikke bare åndssvag, hun var også i videste forstand anatomisk abnorm	abnorm	(99, 105)	-1
abnorm	Det er nærmest abnormt, hvad der bruges — og altså opkræves — af statslige midler i Danmark	abnormt	(15, 22)	-1
accept	Intet er hidtil blevet gennemført i EF uden fransk accept	accept	(51, 57)	1
accept	Små børn skal have kærlighed og accept	accept	(32, 38)	1
accept	Der er aftagende accept af skilsmisse og utroskab, også blandt de yngre	accept	(17, 23)	1
acceptere	Big Bang-teorien er almindeligt accepteret blandt fysikere og astronomer	accepteret	(32, 42)	2
acceptere	[stewardessen havde glad] accepteret min invitation om at gå i byen et par dage senere	accepteret	(26, 36)	1
acceptere	Man skal være her [: på Bornholm] i 3 generationer, før man accepteres som bornholmer	accepteres	(60, 70)	2
adlyde	soldatens første pligt er at adlyde enhver lovlig ordre	adlyde	(29, 35)	1
afbryde	hun ved, at Jesper er en god lytter, der sjældent afbryder	afbryder	(50, 58)	-1
afbryde	Far ringede lige og afbrød mig i mit skriveri	afbrød	(20, 26)	-1
afdragsfri	Ved etablering af nyt landbrug .. kan landmanden få lavtforrentede statslån, der er afdragsfri de første fire år	afdragsfri	(84, 94)	-1
affære	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	affæren	(31, 38)	-1
affære	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	affære	(29, 35)	-1
affære	Hvad skal jeg gøre? Jeg tror, at Peter har en affære med en af pigerne på kontoret	affære	(46, 52)	-1
afgift	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	-1
afgift	Hvis der betales med et Dankort, betaler .. du som kunde en afgift, og derudover betaler sælgeren en noget større afgift	afgift	(60, 66)	-1
afgift	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	afgifter	(27, 35)	-1
afgift	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	afgifter	(41, 49)	-1
afgift	Eneforfattere og bidragydere til billedbøger modtager afgift fra både pulje 1 og 2	afgift	(54, 60)	-1
afhænde	en ældre frisørmester i Søborg ville afhænde sin forretning	afhænde	(37, 44)	-1
afhængig	Han kan intet selv. Han er totalt afhængig af andre mennesker	afhængig	(34, 42)	-1
afhængig	regeringen har ikke gjort sig afhængig af Fremskridtspartiets stemmer	afhængig	(30, 38)	-2
afhængig	Mange begynder at drikke i 12-13-års alderen og bliver afhængige, når de er 15-16	afhængige	(55, 64)	-2
aflyse	al flyvning [blev] aflyst på grund af snestorm	aflyst	(19, 25)	-1
aflyse	han har måttet aflyse sin skiferie	aflyse	(15, 21)	1
