target	first_context	second_context	label	comment	pos	first_word	first_position	second_word	second_position	
abe	Talrige aber ser utålmodigt til fra trætoppene, og da vi rykker ind i hytten, kaster de sig over levningerne	chimpansen fandt ud af at sætte to stokke sammen til en, der var så lang, at aben kunne nå en banan uden for buret	same_sense	1	sb.	aber	(8, 12)	aben	(77, 81)	1
abonnent	Som abonnent får du Jyllands-Posten ind ad brevsprækken hver morgen før kl. 7.00	Tilslutnings- og abonnementstakster for hybridnettet skal være ens for alle tilsluttede abonnenter	same_sense	2	sb.	abonnent	(4, 12)	abonnenter	(88, 98)	1
abort	katolikkerne [er] modstandere af abort	Et foster udenfor livmoderen vil altid resultere i en abort	same_sense	3	sb.	abort	(33, 38)	abort	(54, 59)	1
A-brev	I fjerde kvartal af 1993 var 94,9 pct. af alle A-breve fremme hos modtageren dagen efter afsendelsen	Post Danmark har ikke længere pligt til at levere breve fra dag til dag, de såkaldte A-breve	same_sense	4	sb.	A-breve	(47, 54)	A-breve	(85, 92)	1
AD	Det er ikke kun AD'ere, der kan få gode idéer, men ingen er bedre til at få dem ned på papiret. Eller op på skærmen	AD'erne skal fortsat opfylde kravet om at være uddannet på Grafisk Højskole, Designskolen eller Kunsthåndværkerskolen	same_sense	7	sb.	AD'ere	(16, 22)	AD'erne	(0, 7)	1
adfærd	et vist mål af .. asocial adfærd i barndommen er en god grobund for senere tolerance og overbærenhed	Følelsen af vrede motiverer en aggressiv adfærd	same_sense	8	sb.	adfærd	(26, 32)	adfærd	(41, 47)	1
adrenalin	I den første fase [: af kroppens reaktion ved stress] stimuleres binyrerne til øget produktion af hormonet adrenalin også kaldet kamphormonet	adrenalinen steg kolossalt hos CD's ordfører, sidste gang ordføreren var på talerstolen	same_sense	9	sb.	adrenalin	(107, 116)	adrenalinen	(0, 11)	1
adresse	Lone spurgte viceværten om Louises nye adresse, så hun kunne eftersende brevene	Hun har fast adresse i Australien, men også en lejlighed i Paris	same_sense	10	sb.	adresse	(39, 46)	adresse	(13, 20)	1
advarsel	en mand med irsk accent indtelefonerede en advarsel ca. 40 minutter inden bombesprængningen	Mange af [oprørerne] blev halshugget. Deres hoveder blev udstillet på pæle som en advarsel for andre	same_sense	11	sb.	advarsel	(43, 51)	advarsel	(82, 90)	1
afbigt	han kunne [betale] et rimeligt beløb som afbigt for sin manglende effektivitet	Straks efter juletidens kulinariske udskejelser skal der så gøres afbigt, hos nogle i form af nytårsforsætter	same_sense	17	sb.	afbigt	(41, 47)	afbigt	(66, 72)	1
afbrydelse	Stemningen var noget trykket, og bestyrelsen bad om en kort afbrydelse af mødet	Folk knokler hårdt i de isolerede småsamfund — derfor er den omrejsende teatertrup en velkommen afbrydelse	same_sense	18	sb.	afbrydelse	(60, 70)	afbrydelse	(96, 106)	1
afbud	afbuddet fra Michael Laudrup har givet Piontek panderynker	Min familie i Jylland ringede afbud i morges. De kommer alligevel ikke	same_sense	19	sb.	afbuddet	(0, 8)	afbud	(30, 35)	1
affald	Da meget af affaldet er emballage, burde man måske, for at begrænse omfanget af affald, afskaffe emballagen hvor det vil være muligt	Staten regner med at affald, halm, træ og biogas skal dække ca. 7 % af energiforbruget i år 2010	same_sense	20	sb.	affaldet	(12, 20)	affald	(21, 27)	1
affaldsstof	De stoffer, der ikke kan nedbrydes i kroppen, kaldes affaldsstoffer og udskilles fra kroppen gennem afføring og urin	Giftige affaldsstoffer fra industrien som fenol .. kan fjernes fra både grundvand og spildevand med en ny danskudviklet metode	same_sense	21	sb.	affaldsstoffer	(53, 67)	affaldsstoffer	(8, 22)	1
afgrøde	Til afgrøder som korn, kartofler, kål og frugt anvendes kunstgødning og sprøjtemidler	I mere end 4.000 år har agerbrugere forbedret jordens vækster for at opnå bedre afgrøder	same_sense	22	sb.	afgrøder	(4, 12)	afgrøder	(80, 88)	1
aficionado	for folk som interesserer sig for kriminallitteratur er Snare kendt som en aficionado af genren og en overordentlig belæst ekspert	Den to-sædede 4C sportsvogn fra Alfa Romeo genopliver våde drømme hos aficionados	same_sense	23	sb.	aficionado	(75, 85)	aficionados	(70, 81)	1
aflytning	de danske myndigheders aflytninger er underlagt parlamentarisk kontrol	Børnebiblioteket vil være åbent for udlån, men .. der bliver ikke mulighed for aflytning af plader og bånd	same_sense	33	sb.	aflytninger	(23, 34)	aflytning	(79, 88)	1
afrejse	Vil man krydse grænsen til Rusland, skal visum ansøges i god tid før afrejsen	Rigtig god rejse, Katrine! Madam Thomsen gav Katrine et knus inden afrejsen	same_sense	34	sb.	afrejsen	(69, 77)	afrejsen	(67, 75)	1
afsky	Vi vender os med afsky mod krigen i al dens gru	Hun går ikke i detaljer med selve overgrebet, men viser dets følger i form af en udtalt afsky for faderen	same_sense	37	sb.	afsky	(17, 22)	afsky	(88, 93)	1
afsoning	mange af de indsatte nægter at arbejde under afsoningen	Retsplejeloven ændres for at sikre hurtigere afsoning efter dom	same_sense	40	sb.	afsoningen	(45, 55)	afsoning	(45, 53)	1
afspiller	Kræsne musikelskere behøver ikke nøjes med mp3, for afspilleren kan fint spille tabsfri lydfiler i cd-kvalitet	Download en afspiller til din computer og se indtil videre i alt 10 forskellige digitale tv-kanaler via internettet	same_sense	41	sb.	afspilleren	(52, 63)	afspiller	(12, 21)	1
aften	Jeg læser og synger altid lidt [: for min datter], så er kl. ca. 21 og resten af aftenen er min	Da det blev aften, og solen var gået ned, kom folk hen til [Jesus] bærende på alle de syge og besatte	same_sense	51	sb.	aftenen	(81, 88)	aften	(12, 17)	1
aftensmad	Jeg laver spaghetti og kødsovs til aftensmad. Det er en af ungernes livretter	den lille familie sad omkring bordet og spiste aftensmad	same_sense	52	sb.	aftensmad	(35, 44)	aftensmad	(47, 56)	1
aftenstund	besøgene hos de mange thyboer fandt som regel sted en aftenstund eller en søndag i deres hjem	[Lyset på bilen] røg sig en tur en aftenstund midt på en bælgmørk landevej	same_sense	53	sb.	aftenstund	(54, 64)	aftenstund	(35, 45)	1
afvej	jeg kunne ikke tænke mig at bo .. ude ad afvejene derude. Ikke når man ikke har kørekort	Gennem det unormale sættes den normale udvikling og dens afveje i relief	same_sense	54	sb.	afvejene	(41, 49)	afveje	(57, 63)	1
akse	Jorden roterer en gang om sin akse på 24 timer	Billedet er bygget op om to akser, en vandret og en lodret. Den lodrette akse midt i billedet adskiller de frelste og de fordømte	same_sense	55	sb.	akse	(30, 34)	akser	(28, 33)	1
albue	Laust havde stukket Niels en albue i siden, så han rettede sig op i et sæt	du skal ikke sidde med albuerne på bordet	same_sense	58	sb.	albue	(29, 34)	albuerne	(23, 31)	1
alder	At blive skilt i min alder er ikke at blive ensom. Jeg har mange ægte venner	Det frilagte bindingsværk i muren vidner om alderen på ildebrandshuset, der er bygget i 1729	same_sense	59	sb.	alder	(21, 26)	alderen	(44, 51)	1
alderdom	Alderdommen kan blive et rigt livsafsnit	[hun lider] af den ret udbredte vrangforestilling, at alderdom skal behandles som en smitsom sygdom	same_sense	69	sb.	Alderdommen	(0, 11)	alderdom	(54, 62)	1
aldersgruppe	I aldersgruppen 20-44 år er selvmord den hyppigste dødsårsag	der er specielle opgaver, et samfund skal løse med henblik på forskellige aldersgrupper, børn, unge og gamle	same_sense	70	sb.	aldersgruppen	(2, 15)	aldersgrupper	(74, 87)	1
alenefar	På grund af en uoverenstemmelse blev jeg alenefar til to, mens Gitte flyttede ind i en lejlighed	Philipa er navnet på hans 10 måneder gamle datter, som han har valgt at få som alenefar	same_sense	71	sb.	alenefar	(41, 49)	alenefar	(79, 87)	1
alenemor	Alenemor på 32 år med pige på syv år søger nogle andre alenemødre til at skrive eller ses med	Jeg er for nylig blevet alenemor og er under uddannelse på SU. Jeg modtager her tillæg som enlig forsørger, men der er stadig ikke meget at gøre godt med	same_sense	74	sb.	Alenemor	(0, 8)	alenemor	(24, 32)	1
alfabet	ca. 1000-1200 — den tid hvor runeskriften afløstes af det latinske alfabet	Beta og gamma er betegnelserne for det andet og tredje bogstav i det græske alfabet	same_sense	77	sb.	alfabet	(67, 74)	alfabet	(76, 83)	1
alge	Næringssalte fremmer væksten af mikroalger i havet, og algerne bruger ilten, når de rådner på havbunden	Vandet .. er grønligt af alger, og man kan ikke se bunden, selv om der kun er omkring 2,50 m dybt	same_sense	78	sb.	algerne	(55, 62)	alger	(25, 30)	1
alternativ	Spørg lægen eller apoteket, om der findes et billigere alternativ	De har hele tiden kunnet anvise alternativer, i stedet for bare at protestere mod forslaget	same_sense	79	sb.	alternativ	(55, 65)	alternativer	(32, 44)	1
